strain	PD	read_uuid	sample	our_read_id	paper_chr_end	paper_n_yprime	paper_ids	paper_switch	our_chr_end	our_n_yprime	our_ids	our_status	our_path	our_entries	our_source	our_mechanism	our_blocks	our_switch
7172	28	1d0f0030-6fb0-4ca6-b85d-a51c5426cde2	7172_day3_with_selection	SRR33298430.547303	chr1R	2	ID3,ID1	Y	chr1R	2.0	ID1_Gray,ID3_Orange	Y' Gain	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R:ID1_Gray > chr14L[3]:ID3_Orange	chr8R1|chr14L3	chr1L	subtelomere_switch	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R > chr14L	True
7302	28	1d2064f8-a75b-4459-8359-82a4d88ad263	7302_day3_with_selection	SRR33298450.409757	chr2L	3	ID4,ID2,ID2	N	chr2L	3.0	ID4_Green-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr12R|chr13L|chr14L|chr4R:ID2_Red-Light > chr12R|chr13L|chr14L|chr4R:ID2_Red-Light	chr2L1|chr4R4,7;chr12R3,4,5;chr14L2|chr4R1,2,3,6	chr12R	donor_transfer_candidates:2	chr12R|chr13L|chr14L|chr4R	False
7302	33	1deb3eb7-f829-4a5e-b0cc-d77d26f07247	7302_day4_with_selection	SRR33298449.71973	chr14R	5	ID6,ID3,ID3,ID3,ID3	N	chr14R	5.0	ID6_Purple-Neutral,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange	Y' Gain	chr14L[3]:ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange(circ x4.0 moderate | alt chr14L[3-5] + chr14L[3])	chr14R1|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5	chr14L	donor_transfer	chr14L	False
7172	28	1e6da8a1-b592-4336-9c88-062d2e362637	7172_day3_with_selection	SRR33298430.386188	chr16L	18	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID5	N	chr16L	17.0	ID5_Blue-Dark,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr12R[6-7]:ID2_Red,ID2_Red,ID2_Red,ID2_Red(circ x2.0 moderate | alt chr12R[2] + chr12R[6-8]) > chr12R[6-7]:ID2_Red,ID2_Red,ID2_Red,ID2_Red(circ x2.0 moderate) > self[2]:ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red(circ x6.0 strong)	chr16L1|chr12R6,8|chr12R7|chr12R6,8|chr12R7|chr12R6,8|chr12R7|chr12R6,8|chr12R7|chr12R6,8|chr12R7|chr12R6,8|chr12R7|chr12R6,8|chr12R7|chr12R6,8|chr12R7	chr16L	tandem_amplification_same_end	chr12R > chr16L	True
7302	33	20315363-0b9c-4d84-9050-d6ec9800dd97	7302_day4_with_selection	SRR33298449.564793	chr2R	4	ID8,ID7,ID8,ID7	N	chr2R	4.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	Y' Gain	chr13L[1-4]:ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	chr13L3|chr13L4|chr13L3|chr13L4	chr13L	donor_transfer	chr13L	False
7302	28	2046e7f3-dd67-4490-8691-35f163b275fa	7302_day3_with_selection	SRR33298450.197557	chr12R	8	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID1	N	chr12R	8.0	ID1_Gray,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	self[2-3]:ID2_Red-Light,ID2_Red-Light	chr12R1|chr4R1,2,3,6|chr4R1,2,3,6|chr4R1,2,3,6|chr4R1,2,3,6|chr4R1,2,3,6|chr4R4,7;chr12R3,4,5;chr14L2|chr13L4	chr12R	tandem_amplification_same_end	chr12R	False
7172	33	2098c098-4a59-4274-9924-bd72d54db2f3	7172_day4_with_selection_repeat	SRR33298428.338691	chr12L	6	ID2,ID2,ID2,ID2,ID2,ID1	N	chr12L	6.0	ID1_Gray,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr4R[3-7]:ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	chr12L1|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R5|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr4R	donor_transfer	chr4R	False
7172	28	20cc352a-f4c8-4b45-8b98-d0302d737360	7172_day3_with_selection	SRR33298430.13043	chr13R	4	ID2,ID2,ID2,ID5	N	chr13R	4.0	ID5_Blue-Light,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr14L[1-2]:ID5_Blue-Light,ID2_Red > chr12R|chr4R:ID2_Red,ID2_Red	chr14L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr15R1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr14L	donor_transfer	chr14L > chr12R|chr4R	True
7302	28	20d22bef-9127-4e7c-9981-ab8803b5ccfe	7302_day3_with_selection	SRR33298450.302264	chr13L	7	ID7,ID2,ID8,ID2,ID8,ID2,ID8	Y	chr13L	7.0	ID7_Yellow,ID2_Red-Dark,ID2_Red-Light,ID2_Red-Dark,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Recombination	chr15R[1]:ID2_Red-Dark > chr12R|chr14L|chr4R:ID2_Red-Light > chr15R[1]:ID2_Red-Dark > self[2]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light(circ x3.0 moderate)	chr13L3|chr15R1|chr13L4|chr15R1|chr13L4|chr12R6|chr13L4	chr13L	tandem_amplification_same_end	chr15R > chr12R|chr14L|chr4R > chr15R > chr13L	True
7172	33	21fd0dce-3865-4588-a56d-540094cf6c45	7172_day4_with_selection_repeat	SRR33298428.129996	chr10R	3	ID1,ID2,ID2	N	chr10R	3.0	ID1_Gray,ID2_Red,ID2_Red	Y' Gain	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R:ID1_Gray > chr16L|chr4R:ID2_Red,ID2_Red	chr5R1|chr4R1,2,6;chr16L2|chr4R1,2,6;chr16L2	chr12R	donor_transfer	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R > chr16L|chr4R	True
7302	28	229119b7-9a32-486c-bb39-22c4142c8ebd	7302_day3_with_selection	SRR33298450.336609	chr13R	2	ID4,ID2	Y	chr13R	2.0	ID4_Green-Light,ID2_Red-Light	Y' Gain	chr2L[1]:ID4_Green-Light > chr12R|chr13L|chr14L|chr4R:ID2_Red-Light	chr2L1|chr12R6	ambiguous	unmatched_array	chr2L > chr12R|chr13L|chr14L|chr4R	True
7302	28	22bf86a0-91df-47a9-ab42-38e09fdbbb93	7302_day3_with_selection	SRR33298450.391007	chr7L	4	ID7,ID8,ID7,ID8	N	chr7L	4.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	Y' Gain	chr13L[1-4]:ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	chr13L3|chr13L4|chr13L3|chr13L4	chr13L	donor_transfer	chr13L	False
7302	33	22cafc17-419f-49f3-bf09-c98838ab00cb	7302_day4_with_selection	SRR33298449.564822	chr12L	3	ID1,ID2,ID2	N	chr12L	3.0	ID1_Gray,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr13L?[2]:ID2_Red-Light > chr12R|chr13L|chr14L|chr4R:ID2_Red-Light	chr12L1|chr4R1,2,3,6|chr4R1,2,3,6	chr12R	donor_transfer_candidates:2	chr13L	False
7172	33	238b229f-8304-486f-81ea-0bb8d5bdb207	7172_day4_with_selection_repeat	SRR33298428.406958	chr15L	6	ID2,ID2,ID2,ID2,ID2,ID2	N	chr15L	6.0	ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr12R[2-6]:ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red(circ x1.2 moderate | alt chr12R[2-6] + chr12R[2])	chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R5|chr4R5|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R1,2,6;chr16L2	chr12R	donor_transfer	chr12R	False
7302	28	238d4600-d3ce-4e2b-9d29-2b6e3ba99697	7302_day3_with_selection	SRR33298450.313653	chr6L	5	ID4,ID2,ID2,ID2,ID2	N	chr6L	5.0	ID4_Green-Dark,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr12R[2-5]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	chr6L1|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2|chr12R6	chr12R	donor_transfer	chr12R	False
7172	33	23cd03b7-31d6-4554-9b25-1837347cd334	7172_day4_with_selection_repeat	SRR33298428.454000	chr12R	10	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID1	N	chr12R	10.0	ID1_Gray,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	self[6-7]:ID2_Red,ID2_Red	chr12R1|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr12R6,8|chr12R7|chr12R6,8|chr12R6,8|chr12R7	chr12R	tandem_amplification_same_end	chr12R	False
7302	28	245d594e-f53d-45d0-94d4-96d8ecfb21e4	7302_day3_with_selection	SRR33298450.217613	chr14R	4	ID3,ID3,ID3,ID5	Y	chr14R	4.0	ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange	1st Y' Change	chr14L[2-5]:ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange	chr4R1,2,3,6|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5	chr14L	donor_transfer	chr14L	False
7172	28	247f5a33-912d-45bc-b2dd-ed8c68309495	7172_day3_with_selection	SRR33298430.386221	chr7R	3	ID3,ID2,ID5	N	chr7R	3.0	ID5_Blue-Dark,ID2_Red,ID3_Orange	Y' Gain	chr14L[2-3]:ID2_Red,ID3_Orange	chr16L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr14L3	chr14L	donor_transfer	chr14L	False
7302	28	2575a19e-80f7-4b53-b06b-724644497c0d	7302_day3_with_selection	SRR33298450.302344	chr7R	3	ID8,ID7,ID5	N	chr7R	3.0	ID5_Blue-Dark,ID7_Yellow,ID2_Red-Light	Y' Gain	chr13L[1-2]:ID7_Yellow,ID2_Red-Light	chr16L1|chr13L3|chr13L4	chr13L	donor_transfer	chr13L	False
7302	28	26b2e640-3106-41b9-858c-66970f5baa07	7302_day3_with_selection	SRR33298450.155927	chr16R	4	ID2,ID2,ID2,ID1	N	chr16R	4.0	ID1_Gray,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr12R|chr4R:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	chr16R1|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2|chr12R6	chr12R	donor_transfer_candidates:2	chr12R|chr4R	False
7172	33	28ebdab5-abf4-4c87-b311-5bc53bb56127	7172_day4_with_selection_repeat	SRR33298428.74840	chr5L	6	ID2,ID2,ID2,ID2,ID2,ID6	N	chr5L	6.0	ID6_Purple-Light,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr12R[5-7]:ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red(circ x1.7 moderate | alt chr12R[2] + chr12R[5-8])	chr5L1|chr12R6,8|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr12R6,8|chr12R7|chr12R6,8	chr12R	donor_transfer	chr12R	False
7172	33	291bc91a-77ae-431c-8c09-c56b8fba2850	7172_day4_with_selection	SRR33298429.120118	chr10L	4	ID2,ID2,ID2,ID6	N	chr10L	4.0	ID6_Purple-Dark,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr12R[6-8]:ID2_Red,ID2_Red,ID2_Red	chr10L1|chr12R6,8|chr12R7|chr12R6,8	chr12R	donor_transfer	chr12R	False
7172	28	2a987462-6ff0-4991-a056-b032d74fdd7f	7172_day3_with_selection	SRR33298430.72418	chr14L	5	ID2,ID2,ID3,ID2,ID5	N	chr14L	5.0	ID5_Blue-Dark,ID2_Red,ID3_Orange,ID2_Red,ID2_Red	1st Y' Change	chr7R?[1]:ID5_Blue-Dark > self[2-3]:ID2_Red,ID3_Orange,ID2_Red(circ x1.5 moderate | alt chr14L[2-3] + chr14L[2]) > self[2]:ID2_Red	chr16L1|chr4R1,2,6;chr16L2|chr14L3|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr16L	donor_transfer	chr7R > chr14L	True
7302	28	2b689fd0-909d-4969-93ea-42a1ebd2d957	7302_day3_with_selection	SRR33298450.536123	chr16R	4	ID2,ID2,ID2,ID1	N	chr16R	4.0	ID1_Gray,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr12R|chr4R:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	chr16R1|chr4R1,2,3,6|chr4R4,7;chr12R3,4,5;chr14L2|chr12R6	chr12R	donor_transfer_candidates:2	chr12R|chr4R	False
7302	33	2c067fcb-1b1d-45d1-a423-626837c6ae25	7302_day4_with_selection	SRR33298449.274261	chr10R	4	ID7,ID8,ID7,ID8	N	chr10R	4.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	Y' Gain	chr13L[1-4]:ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	chr13L3|chr13L4|chr13L3|chr13L4	chr14L	subtelomere_switch	chr13L	False
7302	28	2c109a4d-86d9-4c06-9944-1826fd6dfafa	7302_day3_with_selection	SRR33298450.520719	chr6L	3	ID4,ID7,ID8	N	chr6L	3.0	ID4_Green-Dark,ID7_Yellow,ID2_Red-Light	Y' Gain	chr13L[1-2]:ID7_Yellow,ID2_Red-Light	chr6L1|chr13L3|chr13L4	chr13L	donor_transfer	chr13L	False
7302	33	2c12d66b-ca28-4145-83f6-5545b6d2732e	7302_day4_with_selection	SRR33298449.235892	chr5L	3	ID7,ID8,ID6	N	chr5L	3.0	ID6_Purple-Light,ID2_Red-Light,ID7_Yellow	Y' Gain	chr13L[2-3]:ID2_Red-Light,ID7_Yellow	chr5L1|chr12R6|chr13L3	chr13L	donor_transfer	chr13L	False
7172	33	2d43c291-94aa-4c7f-8771-812498f9b082	7172_day4_with_selection_repeat	SRR33298428.117257	chr14R	5	ID2,ID3,ID2,ID3,ID6	N	chr14R	5.0	ID6_Purple-Neutral,ID3_Orange,ID2_Red,ID3_Orange,ID2_Red	Y' Gain	chr14L[3]:ID3_Orange > chr12R|chr14L|chr15R|chr16L|chr4R:ID2_Red > chr14L[3]:ID3_Orange > chr12R|chr14L|chr15R|chr16L|chr4R:ID2_Red	chr14R1|chr14L3|chr4R1,2,6;chr16L2|chr14L3|chr15R1	chr14L	donor_transfer	chr14L	False
7172	28	319066f4-8005-4d9d-bdb5-570fe364e581	7172_day3_with_selection	SRR33298430.277502	chr4R	17	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	N	chr4R	17.0	ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	self[1-3]:ID2_Red,ID2_Red,ID2_Red > self[3-5]:ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red(circ x2.3 moderate)	chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R5|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R5|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R5|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R5	chr4R	tandem_amplification_same_end	chr4R	False
7302	33	32183604-a706-4ed1-bc5f-70dd6d1cb5a5	7302_day4_with_selection	SRR33298449.347234	chr7R	4	ID5,ID7,ID8,ID7	N	chr7R	4.0	ID5_Blue-Dark,ID7_Yellow,ID2_Red-Light,ID7_Yellow	Y' Gain	chr13L[1-2]:ID7_Yellow,ID2_Red-Light,ID7_Yellow(circ x1.5 moderate | alt chr13L[1-2] + chr13L[1])	chr16L1|chr13L3|chr13L4|chr13L3	chr13L	donor_transfer	chr13L	False
7172	33	338c22e8-12b6-41bd-9d6c-8d65a12a3707	7172_day4_with_selection	SRR33298429.300115	chr14R	3	ID2,ID3,ID3	N	chr14R	3.0	ID2_Red,ID3_Orange,ID3_Orange	1st Y' Change	chr14L[2-3]:ID2_Red,ID3_Orange > chr14L[3]:ID3_Orange	chr4R1,2,6;chr16L2|chr14L3|chr14L3	chr14L	donor_transfer	chr14L	False
7302	33	3601a98e-2bcf-4771-85eb-df9d61f2bf9f	7302_day4_with_selection	SRR33298449.132130	chr14R	3	ID6,ID6,ID6	N	chr14R	3.0	ID6_Purple-Dark,ID6_Purple-Dark,ID6_Purple-Dark	1st Y' Change	chr10L|chr9L:ID6_Purple-Dark,ID6_Purple-Dark,ID6_Purple-Dark(circ x3.0)	chr9L1|chr9L1|chr9L1	ambiguous	unmatched_array	chr10L|chr9L	False
7302	33	36231450-6fae-4d2b-b0af-e80c197d3e0e	7302_day4_with_selection	SRR33298449.75975	chr12L	3	ID2,ID2,ID1	N	chr12L	3.0	ID1_Gray,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr4R[1-2]:ID2_Red-Light,ID2_Red-Light	chr12L1|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2	chr4R	donor_transfer	chr4R	False
7172	33	36e36976-bd81-4f58-8f5c-76faeef2665a	7172_day4_with_selection_repeat	SRR33298428.465396	chr12L	4	ID1,ID2,ID2,ID2	N										
7302	33	37d6f4f6-90b3-4b6b-98dd-22e109b674e3	7302_day4_with_selection	SRR33298449.42529	chr15R	5	ID2,ID2,ID3,ID3,ID3	N	chr15R	5.0	ID2_Red-Dark,ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange	Y' Gain	chr14L[2-5]:ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange	chr15R1|chr4R4,7;chr12R3,4,5;chr14L2|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5	chr14L	donor_transfer	chr14L	False
7172	33	381ccebc-2455-4e58-b9c3-090a9a549813	7172_day4_with_selection_repeat	SRR33298428.111269	chr12R	11	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID1	N	chr12R	11.0	ID1_Gray,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	self[2-4]:ID2_Red,ID2_Red,ID2_Red	chr12R1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr12R6,8|chr12R7|chr12R7|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr12R	tandem_amplification_same_end	chr12R	False
7302	28	389f72ff-7f6f-4cb5-9b80-b76c8d95b02f	7302_day3_with_selection	SRR33298450.532209	chr14R	4	ID6,ID3,ID3,ID3	N	chr14R	4.0	ID6_Purple-Neutral,ID3_Orange,ID3_Orange,ID3_Orange	Y' Gain	chr14L[3-5]:ID3_Orange,ID3_Orange,ID3_Orange	chr14R1|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5	chr14L	donor_transfer	chr14L	False
7172	28	38c6da5e-8f86-41dd-97c5-b4e4472fbfc1	7172_day3_with_selection	SRR33298430.411934	chr14R	3	ID2,ID2,ID5	N	chr14R	3.0	ID5_Blue-Light,ID2_Red,ID2_Red	1st Y' Change	chr14L[1-2]:ID5_Blue-Light,ID2_Red > chr12R|chr14L|chr15R|chr16L|chr4R:ID2_Red	chr14L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr14L	donor_transfer	chr14L	False
7302	33	38e1e12c-ec7c-4264-89bf-c812a8111225	7302_day4_with_selection	SRR33298449.148131	chr16R	3	ID8,ID7,ID3	Y	chr16R	3.0	ID3_Orange,ID7_Yellow,ID2_Red-Light	1st Y' Change	chr14L[3]:ID3_Orange > chr13L[1-2]:ID7_Yellow,ID2_Red-Light	chr14L3,4,5|chr13L3|chr13L4	chr13L	donor_transfer	chr14L > chr13L	True
7172	28	3b126364-7011-46ac-a6a2-63e2400a9644	7172_day3_with_selection	SRR33298430.490476	chr14L	6	ID2,ID3,ID3,ID3,ID2,ID5	N	chr14L	6.0	ID5_Blue-Dark,ID2_Red,ID3_Orange,ID3_Orange,ID3_Orange,ID2_Red	1st Y' Change	chr16L[1-2]:ID5_Blue-Dark,ID2_Red > self[3]:ID3_Orange,ID3_Orange,ID3_Orange(circ x3.0 moderate) > self[2]:ID2_Red	chr16L1|chr4R1,2,6;chr16L2|chr14L3|chr14L3|chr14L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr16L	donor_transfer	chr16L > chr14L	True
7172	33	3c5c595e-e2c7-43a0-a5da-393cf3042548	7172_day4_with_selection_repeat	SRR33298428.231018	chr10R	2	ID2,ID5	N	chr10R	2.0	ID5_Blue-Light,ID2_Red	Y' Gain	chr14L[1-2]:ID5_Blue-Light,ID2_Red	chr14L1|chr4R1,2,6;chr16L2	chr4L	subtelomere_switch	chr14L	False
7172	33	3cf5d23d-f7c1-4abd-a787-88d2aebab760	7172_day4_with_selection	SRR33298429.120318	chr14L	5	ID3,ID3,ID3,ID2,ID5	N	chr14L	5.0	ID5_Blue-Dark,ID2_Red,ID3_Orange,ID3_Orange,ID3_Orange	1st Y' Change	chr16L[1-2]:ID5_Blue-Dark,ID2_Red > self[3]:ID3_Orange,ID3_Orange,ID3_Orange(circ x3.0 moderate)	chr16L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr14L3|chr14L3|chr14L3	chr16L	donor_transfer	chr16L > chr14L	True
7302	33	3ea1bd4f-14ef-4650-ae99-ee16e0f45f7c	7302_day4_with_selection	SRR33298449.95832	chr14R	4	ID6,ID8,ID8,ID8	N	chr14R	4.0	ID6_Purple-Neutral,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr12R|chr4R:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	chr14R1|chr13L4|chr13L4|chr13L4	chr12R	donor_transfer_candidates:2	chr12R|chr4R	False
7172	33	3f05d3aa-3765-4edd-b918-ba6637bf4a4d	7172_day4_with_selection_repeat	SRR33298428.307724	chr3R	4	ID2,ID4,ID2,ID5	Y	chr3R	4.0	ID5_Blue-Dark,ID2_Red,ID4_Green-Light,ID2_Red	Y' Gain	chr16L[1-2]:ID5_Blue-Dark,ID2_Red > chr2L|chr6L:ID4_Green-Light > chr12R|chr14L|chr15R|chr16L|chr4R:ID2_Red	chr16L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr2L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr13L	subtelomere_switch	chr16L > chr2L|chr6L > chr12R|chr14L|chr15R|chr16L|chr4R	True
7172	33	3feec219-c25a-4b45-90c5-7ec93b71add7	7172_day4_with_selection_repeat	SRR33298428.350835	chr10L	3	ID2,ID2,ID6	N	chr10L	3.0	ID6_Purple-Dark,ID2_Red,ID2_Red	Y' Gain	chr12R|chr4R:ID2_Red,ID2_Red	chr10L1|chr15R1|chr15R1	chr12R	donor_transfer_candidates:3	chr12R|chr4R	False
7172	33	403f1898-00bf-4c63-880b-79aebcbdb25e	7172_day4_with_selection_repeat	SRR33298428.313610	chr2R	3	ID2,ID2,ID1	N	chr2R	3.0	ID1_Gray,ID2_Red,ID2_Red	Y' Gain	chr12R[1-3]:ID1_Gray,ID2_Red,ID2_Red	chr5R1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R1,2,6;chr16L2	chr10R	subtelomere_switch	chr12R	False
7302	28	40406ade-8930-4bcb-99b1-75c1d99ddfb4	7302_day3_with_selection	SRR33298450.394783	chr2R	3	ID7,ID8,ID7	N	chr2R	3.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow	Y' Gain	chr13L[1-3]:ID7_Yellow,ID2_Red-Light,ID7_Yellow	chr13L3|chr13L4|chr13L3	chr13L	donor_transfer	chr13L	False
7302	33	4081ddef-46b3-4611-ba4e-189a63fe2e23	7302_day4_with_selection	SRR33298449.278119	chr14L	8	ID2,ID5,ID5,ID2,ID5,ID5,ID2,ID5	N	chr14L	8.0	ID5_Blue-Dark,ID2_Red-Light,ID5_Blue-Light,ID5_Blue-Light,ID2_Red-Light,ID5_Blue-Light,ID5_Blue-Light,ID2_Red-Light	1st Y' Change	chr16L|chr7R:ID5_Blue-Dark > self[2]:ID2_Red-Light > self[1]:ID5_Blue-Light > self[1-2]:ID5_Blue-Light,ID2_Red-Light,ID5_Blue-Light(circ x1.5 moderate | alt chr14L[1-2] + chr14L[1]) > self[1-2]:ID5_Blue-Light,ID2_Red-Light	chr16L1|chr12R6|chr14L1|chr14L1|chr12R6|chr14L1|chr14L1|chr12R6	chr14L	tandem_amplification_same_end	chr16L|chr7R > chr14L	True
7302	28	4235a799-53ad-4443-8492-798732d070c7	7302_day3_with_selection	SRR33298450.464167	chr13L	6	ID7,ID8,ID8,ID7,ID8,ID7	N	chr13L	6.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID2_Red-Light,ID7_Yellow	Y' Gain	self[2-3]:ID2_Red-Light,ID7_Yellow	chr13L3|chr13L4|chr13L3|chr13L4|chr13L4|chr13L3	chr13L	tandem_amplification_same_end	chr13L	False
